trial_id,type,start_frame,end_frame,t_rel_cs,t_rel_us
trial_006,freeze,0,28,-0.9999801005237752,-4.999900502618876
trial_006,freeze,33,148,0.09999801005237752,-3.8999223920427233
trial_007,retraction,14,29,-0.5333227202793468,-4.533243122374447
trial_007,retraction,30,112,0.0,-3.9999204020951007
trial_007,retraction,113,146,2.766611611449111,-1.2333087906459894
trial_007,retraction,147,162,3.8999223920427233,-0.09999801005237752
trial_007,retraction,192,208,5.399892542828386,1.3999721407332852
trial_007,retraction,210,226,5.999880603142651,1.9999602010475503
trial_007,freeze,0,27,-0.9999801005237752,-4.999900502618876
trial_007,freeze,44,146,0.4666573802444284,-3.533263021850672
trial_008,retraction,3,18,-0.8999820904713977,-4.899902492566498
trial_008,retraction,26,47,-0.1333306800698367,-4.1332510821649375
trial_008,retraction,48,65,0.5999880603142651,-3.3999323417808354
trial_008,retraction,136,156,3.533263021850672,-0.4666573802444284
trial_008,retraction,188,206,5.266561862758549,1.2666414606634486
trial_008,retraction,209,224,5.966547933125192,1.9666275310300911
trial_008,freeze,6,30,-0.7999840804190201,-4.799904482514121
trial_008,freeze,33,149,0.09999801005237752,-3.8999223920427233
trial_009,retraction,77,110,1.566635490820581,-2.4332849112745194
trial_009,retraction,136,151,3.533263021850672,-0.4666573802444284
trial_009,retraction,191,208,5.366559872810926,1.366639470715826
trial_009,retraction,210,225,5.999880603142651,1.9999602010475503
trial_009,freeze,0,29,-0.9999801005237752,-4.999900502618876
trial_009,freeze,32,83,0.06666534003491835,-3.9332550620601823
trial_009,freeze,86,111,1.8666295209777135,-2.133290881117387
trial_009,freeze,125,147,3.166603651658621,-0.8333167504364792
trial_011,retraction,136,154,3.533263021850672,-0.4666573802444284
trial_011,retraction,176,192,4.866569822549039,0.8666494204539384
trial_011,retraction,193,208,5.433225212845845,1.4333048107507445
trial_011,retraction,209,226,5.966547933125192,1.9666275310300911
trial_011,freeze,0,30,-0.9999801005237752,-4.999900502618876
trial_011,freeze,37,76,0.2333286901222142,-3.7665917119728864
trial_011,freeze,78,108,1.5999681608380403,-2.3999522412570604
trial_011,freeze,111,148,2.699946271414193,-1.2999741306809076
trial_012,retraction,137,153,3.566595691868131,-0.4333247102269692
trial_012,retraction,176,191,4.866569822549039,0.8666494204539384
trial_012,retraction,192,207,5.399892542828386,1.3999721407332852
trial_012,retraction,208,223,5.933215263107733,1.933294861012632
trial_012,freeze,0,31,-0.9999801005237752,-4.999900502618876
trial_012,freeze,44,80,0.4666573802444284,-3.533263021850672
trial_012,freeze,82,112,1.733298840907877,-2.2666215611872236
trial_012,freeze,114,148,2.7999442814665705,-1.1999761206285302
trial_013,retraction,136,153,3.533263021850672,-0.4666573802444284
trial_013,retraction,173,188,4.766571812496662,0.7666514104015609
trial_013,retraction,190,208,5.333227202793467,1.3333068006983668
trial_013,retraction,212,227,6.0665459431775695,2.0666255410824688
trial_013,freeze,33,64,0.09999801005237752,-3.8999223920427233
trial_013,freeze,78,148,1.5999681608380403,-2.3999522412570604
trial_014,retraction,139,159,3.6332610319030496,-0.3666593701920509
trial_014,retraction,187,204,5.23322919274109,1.2333087906459894
trial_014,retraction,205,220,5.833217253055355,1.8332968509602545
trial_014,retraction,221,238,6.366539973334702,2.366619571239601
trial_014,freeze,0,32,-0.9999801005237752,-4.999900502618876
trial_014,freeze,36,79,0.19999602010475503,-3.7999243819903454
trial_014,freeze,86,107,1.8666295209777135,-2.133290881117387
trial_014,freeze,109,151,2.6332809313792747,-1.366639470715826
trial_015,retraction,44,63,0.4666573802444284,-3.533263021850672
trial_015,retraction,64,82,1.1333107805936118,-2.866609621501489
trial_015,retraction,104,147,2.466617581291979,-1.5333028208031219
trial_015,retraction,148,163,3.9332550620601823,-0.06666534003491835
trial_015,retraction,186,204,5.1998965227236305,1.1999761206285302
trial_015,retraction,209,224,5.966547933125192,1.9666275310300911
trial_015,retraction,225,240,6.499870653404538,2.499950251309438
trial_015,freeze,0,20,-0.9999801005237752,-4.999900502618876
trial_015,freeze,37,147,0.2333286901222142,-3.7665917119728864
trial_016,retraction,137,152,3.566595691868131,-0.4333247102269692
trial_016,retraction,179,195,4.966567832601417,0.966647430506316
trial_016,retraction,196,211,5.533223222898222,1.5333028208031219
trial_016,retraction,215,235,6.166543953229946,2.166623551134846
trial_016,freeze,0,30,-0.9999801005237752,-4.999900502618876
trial_016,freeze,36,113,0.19999602010475503,-3.7999243819903454
trial_016,freeze,115,142,2.8332769514840295,-1.166643450611071
trial_017,retraction,46,62,0.5333227202793468,-3.466597681815754
trial_017,retraction,88,103,1.933294861012632,-2.0666255410824688
